round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000280712835155,0.44447439353099727,0.7460317460317462,0.002926421404682274,7.0,2392.0,247.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5285714285714286,0.7142857142857143,0.5702380952380952,1.0,0.012145748987854251,0.12513089005235603,239.0,1.9425287356321839,0.13280537796963177,0.0049677542019974565,0.0
1,0.6000543881118114,0.61775956284153,0.7777777777777778,0.0024529844644317253,6.0,2446.0,247.0,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.8333333333333334,0.7407407407407408,1.0,0.016194331983805668,0.11644535240040858,228.0,,,,0.0
2,0.6000543881118114,,,0.0,0.0,2436.0,247.0,0.0,,,,,,,,,0.0,0.12506709608158884,233.0,,,,0.0
3,0.6000587742498608,0.9324609539890248,1.0,0.0004219409282700422,1.0,2370.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004048582995951417,0.13067863151991027,233.0,,,,0.0
4,0.6000894772162059,0.7674645967885287,0.46527777777777785,0.0028949545078577337,7.0,2418.0,247.0,0.0,0.0,0.0,0.13888888888888887,0.3333333333333333,0.1722222222222222,0.5,0.23935185185185184,1.0,0.0,0.1242635243706481,232.0,,,,0.0
5,0.6001114079064525,0.5924055829228243,0.8506944444444444,0.0020483408439164277,5.0,2441.0,247.0,0.0,0.5,0.5,0.5833333333333334,0.75,0.6458333333333334,1.0,0.6458333333333334,1.0,0.008097165991902834,0.11782630777044185,232.0,,,,0.0
6,0.6001245663206004,0.5589891498420546,1.0,0.0012345679012345679,3.0,2430.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008097165991902834,0.12215758857747223,231.0,,,,0.0
7,0.6001377247347484,0.671305913308406,0.8472222222222222,0.0012448132780082987,3.0,2410.0,247.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.004048582995951417,0.12119622245540398,231.0,,,,0.0
8,0.6001596554249948,0.7721602643535729,0.7847222222222222,0.002061005770816158,5.0,2426.0,247.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.6607142857142857,1.0,0.008097165991902834,0.12406417112299466,232.0,,,,0.0
9,0.6001815861152414,0.6695116947066065,0.8,0.0020475020475020475,5.0,2442.0,247.0,0.0,0.2,0.2,0.4,0.6,0.49000000000000005,1.0,0.49000000000000005,1.0,0.004048582995951417,0.12420718816067654,235.0,,,,0.0
