round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000067885722579,0.39983889292432623,0.5888888888888889,0.0003351393621180808,6.0,17903.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.3611111111111111,0.6666666666666666,0.3611111111111111,0.6666666666666666,0.40046296296296297,1.0,0.0005197505197505198,0.12388510429103167,1764.0,1.9881656804733727,0.047547216362332854,9.46959392564115e-05,0.0
1,0.6000208338941708,0.38701113701113704,0.774537037037037,0.0006655574043261231,12.0,18030.0,1924.0,0.0,0.5,0.5,0.5972222222222222,0.75,0.6180555555555556,0.8333333333333334,0.6412037037037036,1.0,0.0031185031185031187,0.12312648830368399,1758.0,,,,0.0
2,0.6000372201030693,0.47821674766414995,0.9161324786324786,0.0007840062720501764,14.0,17857.0,1924.0,0.0,0.6923076923076923,0.6923076923076923,0.7948717948717948,0.9230769230769231,0.814102564102564,1.0,0.814102564102564,1.0,0.004677754677754678,0.12432165762210162,1764.0,,,,0.0
3,0.6000571176424458,0.43819766712655217,0.7174479166666667,0.0009529682157071585,17.0,17839.0,1924.0,0.0,0.5,0.5,0.5625,0.625,0.590625,0.75,0.6194444444444445,1.0,0.004158004158004158,0.12581267414445954,1761.0,,,,0.0
4,0.6000629698599096,0.4704440100530578,0.6333333333333333,0.00027917364600781687,5.0,17910.0,1924.0,0.0,0.2,0.2,0.3,0.4,0.38,0.8,0.40499999999999997,1.0,0.0005197505197505198,0.12347593206004652,1752.0,,,,0.0
5,0.6000699925208661,0.4500806285274981,0.7175925925925926,0.00033740088848900634,6.0,17783.0,1924.0,0.0,0.5,0.5,0.5555555555555555,0.6666666666666666,0.6305555555555555,1.0,0.6305555555555555,1.0,0.0015592515592515593,0.12566484646478973,1772.0,,,,0.0
6,0.6000770151818225,0.42023014105419443,0.6574074074074073,0.00033396415451408216,6.0,17966.0,1924.0,0.0,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6296296296296297,1.0,0.0015592515592515593,0.12535771620018146,1796.0,,,,0.0
7,0.600084037842779,0.40909303806954433,0.8055555555555555,0.0003371165299471851,6.0,17798.0,1924.0,0.0,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6388888888888888,1.0,0.0015592515592515593,0.12483427534714954,1789.0,,,,0.0
8,0.600093401390721,0.4954149504619837,0.8611111111111112,0.00044508734839212194,8.0,17974.0,1924.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.7916666666666667,1.0,0.0031185031185031187,0.12481582824668491,1779.0,,,,0.0
9,0.6000992536081847,0.6676708507670851,0.7638888888888888,0.0002788622420524261,5.0,17930.0,1924.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.7777777777777778,1.0,0.0015592515592515593,0.12397159130862809,1763.0,,,,0.0
10,0.6001132989300976,0.34919922167340217,0.8484848484848485,0.0006730984967466906,12.0,17828.0,1924.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777777,0.9166666666666666,0.7777777777777777,0.9166666666666666,0.7870370370370371,1.0,0.004158004158004158,0.12496467928793445,1769.0,1.9940828402366864,0.0474762328368965,9.46959392564115e-05,0.0
11,0.600134366912967,0.4841041091460836,0.7664310515873016,0.0010063737001006373,18.0,17886.0,1924.0,0.0,0.5294117647058824,0.5294117647058824,0.5784313725490196,0.6470588235294118,0.6196078431372549,0.8235294117647058,0.6419000933706817,1.0,0.004677754677754678,0.125388089189952,1777.0,,,,0.0
12,0.6001484122348799,0.5707869339272458,0.75,0.0006677053193857111,12.0,17972.0,1924.0,0.0,0.5,0.5,0.5833333333333333,0.75,0.5833333333333333,0.75,0.623015873015873,1.0,0.0031185031185031187,0.12397221434647009,1749.0,,,,0.0
