round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000067885722579,0.6073231622746186,0.6851851851851851,0.00033276024624258224,6.0,18031.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.4166666666666667,0.5,0.47685185185185186,1.0,0.0010395010395010396,0.1280259721928153,1814.0,1.9870967741935484,0.0469052163054414,0.0002872787085548521,0.0
1,0.6000173225636926,0.638559095845528,0.8395061728395061,0.0004967435699304559,9.0,18118.0,1924.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7916666666666666,1.0,0.0031185031185031187,0.12727272727272726,1799.0,,,,0.0
2,0.6000266861116346,0.5316374112476051,0.753968253968254,0.0004506026810859525,8.0,17754.0,1924.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.6636904761904762,1.0,0.002079002079002079,0.13041920458616982,1820.0,,,,0.0
3,0.6000360496595765,0.520223752151463,0.611111111111111,0.00044397580331871915,8.0,18019.0,1924.0,0.0,0.125,0.125,0.1875,0.25,0.2375,0.5,0.3138888888888889,1.0,0.0005197505197505198,0.12772808586762074,1785.0,,,,0.0
4,0.6000500949814894,0.6874650642817216,0.8016975308641975,0.0006703161657915317,12.0,17902.0,1924.0,0.0,0.8,0.8,0.8,0.8,0.825,0.9,0.8416666666666668,1.0,0.004158004158004158,0.13050736735138274,1798.0,,,,0.0
5,0.6000617994164169,0.6828224633627922,0.7861111111111112,0.0005590339892665474,10.0,17888.0,1924.0,0.0,0.6,0.6,0.6833333333333333,0.8,0.6833333333333333,0.8,0.7069444444444445,1.0,0.0031185031185031187,0.13039081124033808,1805.0,,,,0.0
6,0.6000735038513443,0.7682423360930858,0.9,0.0005590965000559097,10.0,17886.0,1924.0,0.0,0.7,0.7,0.8,0.9,0.82,1.0,0.82,1.0,0.0036382536382536385,0.13299985287626895,1808.0,,,,0.0
7,0.6000910605037355,0.6907531357219192,0.7192460317460317,0.0008429807800382151,15.0,17794.0,1924.0,0.0,0.5,0.5,0.5833333333333333,0.7142857142857143,0.6154761904761905,0.8571428571428571,0.6392857142857143,1.0,0.0036382536382536385,0.13309828118113706,1812.0,,,,0.0
8,0.6001004240516774,0.6762949039264828,0.875,0.00044535990647441966,8.0,17963.0,1924.0,0.0,0.875,0.875,0.875,0.875,0.9,1.0,0.9,1.0,0.0036382536382536385,0.13039958790197953,1772.0,,,,0.0
9,0.6001086171561266,0.6750639897616381,0.7817460317460317,0.0003917837353780713,7.0,17867.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.5476190476190477,0.7142857142857143,0.6119047619047618,1.0,0.6119047619047618,1.0,0.0015592515592515593,0.13299061242735807,1785.0,,,,0.0
10,0.6001250033650251,0.6468385455945829,0.8293650793650793,0.0007856341189674523,14.0,17820.0,1924.0,0.0,0.7142857142857143,0.7142857142857143,0.8095238095238094,0.9285714285714286,0.8095238095238094,0.9285714285714286,0.8184523809523808,1.0,0.005197505197505198,0.13135279300637132,1773.0,1.9649122807017543,0.04681169533101828,0.0002872787085548521,0.0
11,0.600139048686938,0.5716050758969214,0.8156565656565656,0.0006684119645741659,12.0,17953.0,1924.0,0.0,0.5833333333333334,0.5833333333333334,0.6527777777777778,0.75,0.673611111111111,0.8333333333333334,0.6994047619047619,1.0,0.0036382536382536385,0.1339824879227053,1775.0,,,,0.0
12,0.6001484122348799,0.6589161914346416,0.8125,0.00044707723259193024,8.0,17894.0,1924.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.7886904761904763,1.0,0.0031185031185031187,0.1352324067692779,1766.0,,,,0.0
13,0.6001542644523437,0.666220196743178,0.7222222222222222,0.000277808645405045,5.0,17998.0,1924.0,0.0,0.6,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6888888888888889,1.0,0.0015592515592515593,0.13230585957858684,1777.0,,,,0.0
14,0.6001624575567929,0.6656417800070736,0.888888888888889,0.00039372293154845604,7.0,17779.0,1924.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.875,1.0,0.0031185031185031187,0.13197513294884278,1762.0,,,,0.0
15,0.600175332435213,0.7210530586165105,0.7592592592592592,0.0006132233247853719,11.0,17938.0,1924.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6277777777777778,0.8888888888888888,0.6462962962962963,1.0,0.002598752598752599,0.13237153268387,1780.0,,,,0.0
16,0.6001811846526768,0.6683516606822264,0.9833333333333334,0.0002804419765550508,5.0,17829.0,1924.0,0.0,0.8,0.8,0.9,1.0,0.9,1.0,0.9,1.0,0.002079002079002079,0.134743110161081,1765.0,,,,0.0
