round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000056181287652,0.00027770063871146905,5.0,18005.0,1924.0,0.0,0.0,0.0,0.1,0.2,0.19,0.6,0.23500000000000001,1.0,0.0,0.12802695304274583,1824.0,1.993939393939394,0.04724706299678939,0.0003931169707030262,0.0
1,0.6000114703462289,0.00027945450480661746,5.0,17892.0,1924.0,0.0,0.0,0.0,0.26666666666666666,0.6,0.26666666666666666,0.6,0.3222222222222222,1.0,0.0,0.1263201778765981,1818.0,,,,0.0
2,0.6000196634506781,0.0003920909651039041,7.0,17853.0,1924.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.12857142857142856,0.42857142857142855,0.20153061224489793,1.0,0.0,0.1258648403102942,1801.0,,,,0.0
3,0.6000255156681418,0.00027867573291717756,5.0,17942.0,1924.0,0.0,0.0,0.0,0.1,0.2,0.1,0.2,0.18444444444444444,1.0,0.0,0.12725612753704615,1812.0,,,,0.0
4,0.600033708772591,0.00038817723063272886,7.0,18033.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.7142857142857143,0.5476190476190477,1.0,0.0015592515592515593,0.12446322205291592,1797.0,,,,0.0
5,0.6000442427640257,0.0005005840146837978,9.0,17979.0,1924.0,0.0,0.2222222222222222,0.2222222222222222,0.3148148148148148,0.4444444444444444,0.35925925925925933,0.6666666666666666,0.4024691358024692,1.0,0.0010395010395010396,0.12622036262203626,1810.0,,,,0.0
6,0.6000524358684749,0.0003878975950349108,7.0,18046.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.4583333333333333,0.6666666666666666,0.5006613756613757,1.0,0.0010395010395010396,0.12456819123946386,1803.0,,,,0.0
7,0.6000536063119677,5.5800457563752025e-05,1.0,17921.0,1924.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,0.12615255658005028,1806.0,,,,0.0
8,0.6000559471989532,0.00011227755010385674,2.0,17813.0,1924.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,1.0,0.0005197505197505198,0.12605693348365277,1789.0,,,,0.0
9,0.6000594585294314,0.00016751354067787147,3.0,17909.0,1924.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.17777777777777778,0.6666666666666666,0.2111111111111111,1.0,0.0,0.12633906973529616,1828.0,,,,0.0
10,0.6000653107468951,0.0002810251798561151,5.0,17792.0,1924.0,0.0,0.2,0.2,0.2,0.2,0.24,0.4,0.3022222222222223,1.0,0.0005197505197505198,0.12777660249629785,1812.0,2.0,0.047179112932717183,0.0003931169707030262,0.0
11,0.6000711629643588,0.00027936082243826125,5.0,17898.0,1924.0,0.0,0.2,0.2,0.3,0.4,0.3,0.4,0.3819047619047619,1.0,0.0005197505197505198,0.12700750403254085,1811.0,,,,0.0
12,0.6000758447383298,0.00022222222222222223,4.0,18000.0,1924.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.08333333333333333,0.25,0.17976190476190473,1.0,0.0,0.12578921806702284,1813.0,,,,0.0
13,0.600079356068808,0.00016719612104999163,3.0,17943.0,1924.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.19576719576719573,1.0,0.0,0.12605100896860988,1799.0,,,,0.0
14,0.6000852082862718,0.00027836543814719966,5.0,17962.0,1924.0,0.0,0.4,0.4,0.4666666666666666,0.6,0.5566666666666666,1.0,0.5566666666666666,1.0,0.0010395010395010396,0.12595738755048044,1809.0,,,,0.0
15,0.60008871961675,0.00016664815020553273,3.0,18002.0,1924.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.2611111111111111,1.0,0.2611111111111111,1.0,0.0,0.126420751690956,1813.0,,,,0.0
16,0.6000980831646919,0.00044665289486907486,8.0,17911.0,1924.0,0.0,0.25,0.25,0.35416666666666663,0.5,0.41041666666666665,0.75,0.4520833333333333,1.0,0.0010395010395010396,0.12596347475869732,1814.0,,,,0.0
17,0.6000992536081847,5.587840858292356e-05,1.0,17896.0,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.125974930362117,1809.0,,,,0.0
18,0.6001086171561266,0.0004447903925275214,8.0,17986.0,1924.0,0.0,0.0,0.0,0.22916666666666666,0.5,0.22916666666666666,0.5,0.2989583333333333,1.0,0.0,0.1267261821732459,1817.0,,,,0.0
19,0.6001144693735904,0.00028004928867480676,5.0,17854.0,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10944444444444446,1.0,0.0,0.1260839160839161,1803.0,,,,0.0
20,0.6001203215910541,0.0002799552071668533,5.0,17860.0,1924.0,0.0,0.2,0.2,0.3,0.4,0.35,0.6,0.4033333333333333,1.0,0.0005197505197505198,0.12551055728625823,1813.0,2.0,0.047099505240858035,0.0003931169707030262,0.0
21,0.6001238329215323,0.0001670843776106934,3.0,17955.0,1924.0,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.3444444444444444,1.0,0.3444444444444444,1.0,0.0,0.12603062426383982,1819.0,,,,0.0
22,0.6001273442520105,0.00016758840288252054,3.0,17901.0,1924.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,1.0,0.0010395010395010396,0.1254993800799008,1822.0,,,,0.0
23,0.6001285146955033,5.670541536716756e-05,1.0,17635.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005197505197505198,0.1272650356060072,1805.0,,,,0.0
24,0.6001367077999524,0.00039073402176946693,7.0,17915.0,1924.0,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,0.15476190476190474,0.5714285714285714,0.21683673469387754,1.0,0.0,0.1260586547210751,1801.0,,,,0.0
25,0.6001484122348799,0.0005570409982174688,10.0,17952.0,1924.0,0.0,0.0,0.0,0.05,0.1,0.09,0.3,0.17150793650793653,1.0,0.0,0.12515583875883085,1807.0,,,,0.0
26,0.6001566053393291,0.0003952122854561879,7.0,17712.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4642857142857143,0.5714285714285714,0.5178571428571429,1.0,0.0015592515592515593,0.12644726685846608,1802.0,,,,0.0
27,0.600165968887271,0.00044780296669465436,8.0,17865.0,1924.0,0.0,0.0,0.0,0.16666666666666666,0.375,0.22291666666666665,0.625,0.2657738095238095,1.0,0.0,0.1264487473107086,1822.0,,,,0.0
28,0.6001706506612421,0.000223563603845294,4.0,17892.0,1924.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.13333333333333333,0.5,0.20029761904761906,1.0,0.0,0.12618914381645216,1804.0,,,,0.0
29,0.6001776733221985,0.0003374957813027337,6.0,17778.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.3333333333333333,0.30853174603174605,1.0,0.0005197505197505198,0.12658671716109124,1805.0,,,,0.0
