round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6007387476009991,0.8391653436743617,0.6403243746993746,0.010901883052527254,77.0,7063.0,711.0,0.0,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.5303030303030303,0.38636363636363635,0.7727272727272727,0.4185906685906686,1.0,0.016877637130801686,0.18242399000416493,438.0,1.9252873563218391,0.04050589672600757,0.00980591318102753,0.0
1,0.6013174010743666,0.7976005788025429,0.6633531746031747,0.00846740050804403,60.0,7086.0,711.0,0.0,0.26,0.26,0.3866666666666667,0.58,0.4236666666666667,0.74,0.45885714285714285,1.0,0.01828410689170183,0.18913313977602655,456.0,,,,0.0
2,0.6020600063651882,0.822274599056472,0.6600035202252945,0.010921985815602837,77.0,7050.0,711.0,0.0,0.22580645161290322,0.22580645161290322,0.36827956989247307,0.5645161290322581,0.4158602150537634,0.7741935483870968,0.44528929851510496,1.0,0.01969057665260197,0.1783492326835338,430.0,,,,0.0
3,0.6027158136350047,0.8465133842410003,0.6751209194369573,0.009607233681831025,68.0,7078.0,711.0,0.0,0.3584905660377358,0.3584905660377358,0.4716981132075471,0.6226415094339622,0.4943396226415094,0.7169811320754716,0.5317160826594789,1.0,0.026722925457102673,0.1821125050586807,450.0,,,,0.0
4,0.6034873515994946,0.8117223214285714,0.6403454900478709,0.011299435028248588,80.0,7080.0,711.0,0.0,0.2698412698412698,0.2698412698412698,0.3624338624338625,0.49206349206349204,0.394973544973545,0.6349206349206349,0.4447341899722852,1.0,0.02390998593530239,0.17686537702329252,448.0,,,,0.0
5,0.6040563608483059,0.8556917641714152,0.6545477092352092,0.00834158065884349,59.0,7073.0,711.0,0.0,0.25,0.25,0.43560606060606055,0.6590909090909091,0.4651515151515152,0.7954545454545454,0.4927038239538239,1.0,0.015471167369901548,0.1822937625754527,453.0,,,,0.0
6,0.6048664757110205,0.8004792936939886,0.5804029304029303,0.011887913954146618,84.0,7066.0,711.0,0.0,0.16923076923076924,0.16923076923076924,0.31794871794871793,0.5076923076923077,0.34717948717948716,0.6307692307692307,0.3965018315018315,1.0,0.015471167369901548,0.18067556952081698,460.0,,,,0.0
7,0.6055512156545053,0.8330235626843036,0.6600988389182832,0.010038173335218436,71.0,7073.0,711.0,0.0,0.3148148148148148,0.3148148148148148,0.43827160493827155,0.5925925925925926,0.48456790123456783,0.7962962962962963,0.5112801293356848,1.0,0.02390998593530239,0.17163608562691132,449.0,,,,0.0
8,0.6061780902506534,0.823442283005826,0.5493849206349206,0.009185980780101752,65.0,7076.0,711.0,0.0,0.12,0.12,0.2533333333333333,0.46,0.30333333333333334,0.68,0.3462380952380953,1.0,0.008438818565400843,0.18202764976958524,474.0,,,,0.0
9,0.6066603014784596,0.8131507044257862,0.6923137626262627,0.007065140596297866,50.0,7077.0,711.0,0.0,0.2727272727272727,0.2727272727272727,0.41287878787878785,0.6136363636363636,0.4492424242424242,0.7727272727272727,0.48064574314574315,1.0,0.016877637130801686,0.18369690011481057,480.0,,,,0.0
10,0.6072871760746077,0.7905046012945269,0.6082837301587302,0.0092159364809301,65.0,7053.0,711.0,0.0,0.16,0.16,0.31,0.5,0.35,0.68,0.3938650793650793,1.0,0.011251758087201125,0.18911617136240833,490.0,1.867816091954023,0.037623123802435196,0.01012459721990826,0.0
11,0.6077404546287456,0.8057550257412326,0.6292162698412699,0.006637480581838723,47.0,7081.0,711.0,0.0,0.2619047619047619,0.2619047619047619,0.34523809523809523,0.47619047619047616,0.3904761904761904,0.6666666666666666,0.4371882086167799,1.0,0.015471167369901548,0.18501529051987767,484.0,,,,0.0
12,0.6082033774074396,0.7531417699577337,0.6165311653116531,0.0067921324465827085,48.0,7067.0,711.0,0.0,0.17073170731707318,0.17073170731707318,0.30894308943089427,0.5121951219512195,0.3516260162601626,0.7073170731707317,0.3909407665505226,1.0,0.009845288326300985,0.184966838614591,502.0,,,,0.0
13,0.6087530982071386,0.7010543784782012,0.6157457729468598,0.00804289544235925,57.0,7087.0,711.0,0.0,0.2391304347826087,0.2391304347826087,0.3550724637681159,0.5,0.38550724637681155,0.6304347826086957,0.4362491373360938,1.0,0.015471167369901548,0.18552875695732837,500.0,,,,0.0
14,0.6092353094349449,0.7872158201735667,0.5883049242424243,0.007063144511936714,50.0,7079.0,711.0,0.0,0.29545454545454547,0.29545454545454547,0.4090909090909091,0.5681818181818182,0.4477272727272727,0.7272727272727273,0.48035714285714276,1.0,0.01828410689170183,0.18125,493.0,,,,0.0
15,0.6096114341926337,0.7131821170282708,0.5363498263888888,0.0055248618784530384,39.0,7059.0,711.0,0.0,0.21875,0.21875,0.296875,0.40625,0.33749999999999997,0.59375,0.3873883928571428,1.0,0.009845288326300985,0.17997043606799704,487.0,,,,0.0
16,0.6100357800731032,0.6893187980850318,0.5915369352869353,0.0062402496099844,44.0,7051.0,711.0,0.0,0.28205128205128205,0.28205128205128205,0.37606837606837606,0.5384615384615384,0.40042735042735045,0.6410256410256411,0.44482091982091976,1.0,0.015471167369901548,0.1817512877115526,494.0,,,,0.0
17,0.6104601259535727,0.7124575645278325,0.5956580687830688,0.006232294617563739,44.0,7060.0,711.0,0.0,0.2222222222222222,0.2222222222222222,0.337962962962963,0.5277777777777778,0.3685185185185185,0.6666666666666666,0.4163470017636684,1.0,0.011251758087201125,0.18235078725741485,498.0,,,,0.0
18,0.6110002025287157,0.7380727618776208,0.5818560213940649,0.00791631325982471,56.0,7074.0,711.0,0.0,0.21739130434782608,0.21739130434782608,0.33333333333333337,0.5,0.38115942028985506,0.717391304347826,0.41783988957902,1.0,0.014064697609001406,0.17858426158821417,497.0,,,,0.0
19,0.611569211777527,0.7628614725300182,0.5807992581090408,0.008329803755470846,59.0,7083.0,711.0,0.0,0.1956521739130435,0.1956521739130435,0.33695652173913043,0.5217391304347826,0.3641304347826086,0.6521739130434783,0.40983436853002075,1.0,0.012658227848101266,0.18352857649982252,517.0,,,,0.0
20,0.6119164038615476,0.7717450506772758,0.761739417989418,0.005089058524173028,36.0,7074.0,711.0,0.0,0.36666666666666664,0.36666666666666664,0.5555555555555555,0.7666666666666667,0.5755555555555555,0.8666666666666667,0.5925396825396825,1.0,0.015471167369901548,0.18384201077199283,512.0,1.8771929824561404,0.036322555480898085,0.009393232850313949,0.0
21,0.612340749742017,0.7531576402321083,0.5924744897959184,0.006202424584155625,44.0,7094.0,711.0,0.0,0.2571428571428571,0.2571428571428571,0.3619047619047619,0.5142857142857142,0.38047619047619047,0.6,0.4369047619047619,1.0,0.012658227848101266,0.17649098474341193,509.0,,,,0.0
22,0.612736162948818,0.7056435389439218,0.6650326797385621,0.005796691644281069,41.0,7073.0,711.0,0.0,0.2647058823529412,0.2647058823529412,0.40196078431372545,0.5588235294117647,0.43725490196078426,0.7352941176470589,0.4709033613445378,1.0,0.012658227848101266,0.18334524660471765,513.0,,,,0.0
23,0.6130833550328386,0.7377743094967839,0.7038845486111112,0.005081874647092038,36.0,7084.0,711.0,0.0,0.28125,0.28125,0.4322916666666667,0.625,0.4604166666666667,0.75,0.4957837301587302,1.0,0.012658227848101266,0.18054092026694765,514.0,,,,0.0
24,0.6134691240150836,0.624914590747331,0.5826320470717024,0.005661712668082095,40.0,7065.0,711.0,0.0,0.20689655172413793,0.20689655172413793,0.3448275862068966,0.5172413793103449,0.3844827586206896,0.6896551724137931,0.4252189381499726,1.0,0.008438818565400843,0.18541885734314756,529.0,,,,0.0
25,0.6138548929973285,0.6416850220264317,0.7208508403361344,0.005652112477038293,40.0,7077.0,711.0,0.0,0.38235294117647056,0.38235294117647056,0.4901960784313726,0.6176470588235294,0.5240196078431374,0.7647058823529411,0.5542483660130719,1.0,0.01828410689170183,0.1775412087912088,517.0,,,,0.0
26,0.6141345755094562,0.6344062283838874,0.6240651709401709,0.004108812694814395,29.0,7058.0,711.0,0.0,0.23076923076923078,0.23076923076923078,0.3269230769230769,0.46153846153846156,0.3519230769230769,0.5769230769230769,0.40895909645909645,1.0,0.008438818565400843,0.1864465084279326,542.0,,,,0.0
27,0.6144431906952521,0.6220374414145717,0.655515138154027,0.004524247136999859,32.0,7073.0,711.0,0.0,0.25925925925925924,0.25925925925925924,0.37037037037037035,0.5185185185185185,0.42592592592592593,0.7407407407407407,0.46166960611405056,1.0,0.009845288326300985,0.18773946360153257,539.0,,,,0.0
28,0.6147903827792727,0.6225563110922228,0.6108230926779313,0.00507399577167019,36.0,7095.0,711.0,0.0,0.03225806451612903,0.03225806451612903,0.22043010752688172,0.41935483870967744,0.2575268817204301,0.5806451612903226,0.3194828469022017,1.0,0.0014064697609001407,0.1884508990318119,545.0,,,,0.0
29,0.615050776842288,0.6664829251647111,0.5409981021394065,0.0038124823496187518,27.0,7082.0,711.0,0.0,0.21739130434782608,0.21739130434782608,0.30434782608695654,0.391304347826087,0.3347826086956522,0.5217391304347826,0.3988095238095238,1.0,0.007032348804500703,0.1830110497237569,530.0,,,,0.0
