round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6006808822536623,0.4249578431826836,0.6061001781665047,0.01005380911922968,71.0,7062.0,711.0,0.0,0.1836734693877551,0.1836734693877551,0.3231292517006803,0.5102040816326531,0.3802721088435374,0.7551020408163265,0.41432620667314546,1.0,0.012658227848101266,0.16749803097925964,638.0,1.9763313609467457,0.039008203821896056,0.01193157253744188,0.0
1,0.6014524202181524,0.42471065644259715,0.5297350013451708,0.011336261867649142,80.0,7057.0,711.0,0.0,0.22033898305084745,0.22033898305084745,0.3022598870056497,0.4067796610169492,0.3446327683615819,0.5932203389830508,0.39683884853376383,1.0,0.01828410689170183,0.16927566993897586,638.0,,,,0.0
2,0.602117871712525,0.4718604217204702,0.5959614748677249,0.009774755631109222,69.0,7059.0,711.0,0.0,0.25,0.25,0.34375,0.4791666666666667,0.39999999999999997,0.7083333333333334,0.44005456349206346,1.0,0.016877637130801686,0.16688602263753619,634.0,,,,0.0
3,0.6028797654524588,0.4255059664139857,0.5572661263086794,0.011191386881994617,79.0,7059.0,711.0,0.0,0.2978723404255319,0.2978723404255319,0.3581560283687944,0.44680851063829785,0.3953900709219858,0.6170212765957447,0.4486153326578858,1.0,0.01969057665260197,0.1651376146788991,630.0,,,,0.0
4,0.6034584189258263,0.47553339073861456,0.5948998917748919,0.008537279453614115,60.0,7028.0,711.0,0.0,0.25,0.25,0.356060606060606,0.5,0.3867424242424242,0.6363636363636364,0.4392496392496393,1.0,0.015471167369901548,0.16898024559530164,633.0,,,,0.0
5,0.6040660050728621,0.46580308770214673,0.6425341454411222,0.008902077151335312,63.0,7077.0,711.0,0.0,0.3023255813953488,0.3023255813953488,0.4341085271317829,0.6046511627906976,0.4736434108527131,0.7674418604651163,0.5056662975267626,1.0,0.01828410689170183,0.1648811079174288,631.0,,,,0.0
6,0.6049243410583572,0.44103370786516854,0.5970372612321764,0.012554662152630836,89.0,7089.0,711.0,0.0,0.3050847457627119,0.3050847457627119,0.37288135593220334,0.4745762711864407,0.4288135593220339,0.7288135593220338,0.46654560129136396,1.0,0.02531645569620253,0.16503570483998942,624.0,,,,0.0
7,0.6055222829808369,0.4271074167859371,0.5259424603174603,0.008739780095855652,62.0,7094.0,711.0,0.0,0.19047619047619047,0.19047619047619047,0.3134920634920635,0.4523809523809524,0.35873015873015873,0.6666666666666666,0.39833711262282684,1.0,0.011251758087201125,0.16570680628272252,633.0,,,,0.0
8,0.6061973786997656,0.4288400645543503,0.5949463118580767,0.009910802775024777,70.0,7063.0,711.0,0.0,0.29411764705882354,0.29411764705882354,0.38235294117647056,0.49019607843137253,0.4215686274509804,0.6666666666666666,0.46565515094926857,1.0,0.02109704641350211,0.16344647519582245,626.0,,,,0.0
9,0.6067567437240209,0.4230273609451158,0.4949307975222609,0.008204838025180365,58.0,7069.0,711.0,0.0,0.21951219512195122,0.21951219512195122,0.2967479674796748,0.4146341463414634,0.341869918699187,0.6097560975609756,0.3916376306620209,1.0,0.012658227848101266,0.16477565755544094,639.0,,,,0.0
