round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6022492350946829,0.8128232925507202,0.697594246031746,0.015376013419066257,55.0,3577.0,378.0,0.0,0.2926829268292683,0.2926829268292683,0.4024390243902439,0.5609756097560976,0.44634146341463415,0.7560975609756098,0.4815911730545877,1.0,0.031746031746031744,0.1828847481021394,265.0,1.9408602150537635,0.08037206389838097,0.012923007228286452,0.0
1,0.604647316629455,0.7685505104387914,0.6660668143226284,0.0161965931304105,58.0,3581.0,378.0,0.0,0.3953488372093023,0.3953488372093023,0.46511627906976744,0.5813953488372093,0.5081395348837209,0.7674418604651163,0.5367755629383536,1.0,0.04497354497354497,0.17909407665505225,257.0,,,,0.0
2,0.6068386669974365,0.8566704918470284,0.7663398692810458,0.014771460423634336,53.0,3588.0,378.0,0.0,0.4411764705882353,0.4411764705882353,0.5980392156862746,0.7941176470588235,0.6112745098039216,0.8529411764705882,0.6331232492997199,1.0,0.03968253968253968,0.18230925050641458,270.0,,,,0.0
3,0.6087819399652692,0.8481493487357814,0.7206558061821219,0.01285206453377085,47.0,3657.0,378.0,0.0,0.5,0.5,0.5745614035087719,0.6842105263157895,0.5850877192982455,0.7368421052631579,0.6209795321637427,1.0,0.05026455026455026,0.18842530282637954,280.0,,,,0.0
4,0.6104771355329529,0.8063876221952615,0.6892921146953407,0.01158519355750212,41.0,3539.0,378.0,0.0,0.3548387096774194,0.3548387096774194,0.4731182795698925,0.6129032258064516,0.5021505376344086,0.7419354838709677,0.5393369175627241,1.0,0.0291005291005291,0.19471488178025034,280.0,,,,0.0
5,0.611965599933846,0.8793638448969331,0.6880787037037037,0.010078387458006719,36.0,3572.0,378.0,0.0,0.375,0.375,0.5138888888888888,0.6666666666666666,0.5513888888888889,0.8333333333333334,0.5695601851851851,1.0,0.023809523809523808,0.17818428184281843,263.0,,,,0.0
6,0.6132886794013065,0.7758676204399888,0.7439557613168725,0.00883245928788297,32.0,3623.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.4382716049382716,0.5925925925925926,0.5160493827160494,0.9259259259259259,0.5253086419753087,1.0,0.023809523809523808,0.1880108991825613,276.0,,,,0.0
7,0.6152319523691392,0.8145306210465785,0.8233835200746966,0.013059183106418449,47.0,3599.0,378.0,0.0,0.5428571428571428,0.5428571428571428,0.6476190476190475,0.7714285714285715,0.6733333333333333,0.8857142857142857,0.6923809523809524,1.0,0.05026455026455026,0.17827868852459017,261.0,,,,0.0
8,0.6165136856032415,0.7787947197591978,0.7171092796092794,0.008637503482864307,31.0,3589.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5925925925925926,0.4888888888888889,0.7777777777777778,0.5219135802469136,1.0,0.023809523809523808,0.18328840970350405,272.0,,,,0.0
9,0.6176713801372695,0.8441757628874194,0.7724867724867726,0.00774764803541782,28.0,3614.0,378.0,0.0,0.5,0.5,0.5925925925925926,0.7222222222222222,0.6175925925925926,0.8333333333333334,0.6386463844797178,1.0,0.023809523809523808,0.1784313725490196,273.0,,,,0.0
10,0.6186636897378649,0.797883487007544,0.726736111111111,0.006661115736885929,24.0,3603.0,378.0,0.0,0.45,0.45,0.525,0.65,0.5725,0.85,0.5919444444444445,1.0,0.023809523809523808,0.17588932806324112,267.0,1.9441340782122905,0.07147477747068459,0.0076059605096766075,0.0
11,0.6203588853055486,0.8409929290794166,0.6164965986394558,0.011332227750138198,41.0,3618.0,378.0,0.0,0.39285714285714285,0.39285714285714285,0.4761904761904762,0.6071428571428571,0.4761904761904762,0.6071428571428571,0.5254251700680272,1.0,0.0291005291005291,0.17402768622280818,264.0,,,,0.0
12,0.6213511949061441,0.8145897724079798,0.8024691358024691,0.0066982975160480044,24.0,3583.0,378.0,0.0,0.5555555555555556,0.5555555555555556,0.6388888888888888,0.7222222222222222,0.6527777777777778,0.7777777777777778,0.6830908289241623,1.0,0.026455026455026454,0.18547854785478549,281.0,,,,0.0
13,0.622508889440172,0.8616530385424522,0.7027116402116402,0.007719878687620623,28.0,3627.0,378.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5404761904761904,0.7619047619047619,0.5705593348450491,1.0,0.023809523809523808,0.18393782383419688,284.0,,,,0.0
