round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6010051241623965,0.7875657059996375,0.5540123456790124,0.01129032258064516,21.0,1860.0,189.0,0.0,0.05555555555555555,0.05555555555555555,0.21296296296296294,0.4444444444444444,0.26574074074074067,0.6666666666666666,0.3070987654320987,1.0,0.005291005291005291,0.1917024320457797,134.0,1.9940119760479043,0.0458672192940925,0.07140363445486507,0.0
1,0.6018919984233346,0.7068503462812405,0.549074074074074,0.00966183574879227,18.0,1863.0,189.0,0.0,0.13333333333333333,0.13333333333333333,0.2888888888888889,0.4666666666666667,0.3055555555555556,0.5333333333333333,0.3647883597883597,1.0,0.010582010582010581,0.19708029197080293,135.0,,,,0.0
2,0.6024832479306267,0.8046492659053833,0.5454545454545454,0.006482982171799027,12.0,1851.0,189.0,0.0,0.09090909090909091,0.09090909090909091,0.19696969696969696,0.36363636363636365,0.21515151515151515,0.45454545454545453,0.2902597402597403,1.0,0.005291005291005291,0.1896551724137931,132.0,,,,0.0
3,0.6032223098147418,0.8569951007076756,0.4940062830687831,0.008099352051835854,15.0,1852.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.40277777777777773,0.5,0.41944444444444445,0.5833333333333334,0.4665343915343915,1.0,0.021164021164021163,0.19407407407407407,131.0,,,,0.0
4,0.6041584548679543,0.8100194719660958,0.7050653594771241,0.010231556273559504,19.0,1857.0,189.0,0.0,0.35294117647058826,0.35294117647058826,0.4509803921568627,0.6470588235294118,0.48039215686274506,0.7647058823529411,0.5124883286647992,1.0,0.031746031746031744,0.17479674796747968,129.0,,,,0.0
5,0.6049467875443437,0.6945884967672413,0.644345238095238,0.008547008547008548,16.0,1872.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.27380952380952384,0.42857142857142855,0.36309523809523814,0.7857142857142857,0.3892857142857143,1.0,0.010582010582010581,0.19148936170212766,135.0,,,,0.0
6,0.6057843910130075,0.7948620482118535,0.7289377289377291,0.009071504802561366,17.0,1874.0,189.0,0.0,0.3076923076923077,0.3076923076923077,0.48717948717948717,0.6923076923076923,0.5256410256410257,0.8461538461538461,0.5448717948717948,1.0,0.021164021164021163,0.1828410689170183,130.0,,,,0.0
7,0.6067698068584942,0.7585379159847245,0.41157407407407404,0.010793308148947653,20.0,1853.0,189.0,0.0,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.4666666666666667,0.28,0.5333333333333333,0.33193121693121685,1.0,0.010582010582010581,0.19340974212034384,135.0,,,,0.0
8,0.6073610563657864,0.8005546462993272,0.6818181818181818,0.0065040650406504065,12.0,1845.0,189.0,0.0,0.2727272727272727,0.2727272727272727,0.4393939393939394,0.6363636363636364,0.4621212121212121,0.7272727272727273,0.4974747474747474,1.0,0.015873015873015872,0.18194640338504936,129.0,,,,0.0
9,0.6081001182499015,0.7496296296296296,0.6481481481481481,0.008064516129032258,15.0,1860.0,189.0,0.0,0.26666666666666666,0.26666666666666666,0.3888888888888889,0.5333333333333333,0.42888888888888893,0.7333333333333333,0.4635978835978836,1.0,0.021164021164021163,0.17904509283819628,135.0,,,,0.0
