round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6001135923684795,0.8047717410083639,0.7039276695526696,0.00847457627118644,58.0,6844.0,758.0,0.0,0.4318181818181818,0.4318181818181818,0.553030303030303,0.7045454545454546,0.5882575757575756,0.8636363636363636,0.6057720057720057,1.0,0.025065963060686015,0.1358511837655017,723.0,1.952054794520548,0.06234270365456422,0.0015014188360148802,0.0
1,0.6002295430560277,0.7105087258609641,0.6711534992784993,0.008671369782480894,59.0,6804.0,758.0,0.0,0.4782608695652174,0.4782608695652174,0.5507246376811594,0.6521739130434783,0.5768115942028985,0.7608695652173914,0.6111887508626639,1.0,0.029023746701846966,0.13599394741819557,719.0,,,,0.0
2,0.6003297716164508,0.76973561936623,0.77484477124183,0.00749669263560194,51.0,6803.0,758.0,0.0,0.5294117647058824,0.5294117647058824,0.6519607843137254,0.7941176470588235,0.6784313725490196,0.9117647058823529,0.6895774976657331,1.0,0.023746701846965697,0.13369894099848714,707.0,,,,0.0
3,0.6004142780497488,0.7905255984325752,0.6406921101774042,0.006260920209668026,43.0,6868.0,758.0,0.0,0.4722222222222222,0.4722222222222222,0.5509259259259259,0.6666666666666666,0.5759259259259258,0.7777777777777778,0.6065145502645503,1.0,0.022427440633245383,0.1346877351392024,716.0,,,,0.0
4,0.6005184371419531,0.7651548245098204,0.7661401098901098,0.007804447062288323,53.0,6791.0,758.0,0.0,0.525,0.525,0.6333333333333333,0.75,0.6508333333333333,0.825,0.6747916666666667,1.0,0.027704485488126648,0.13529300923308837,718.0,,,,0.0
5,0.6006186657023762,0.7687837600108435,0.7103174603174603,0.007445255474452555,51.0,6850.0,758.0,0.0,0.4166666666666667,0.4166666666666667,0.5462962962962963,0.7222222222222222,0.5782407407407407,0.8611111111111112,0.5961750440917107,1.0,0.01978891820580475,0.13429481176250235,717.0,,,,0.0
6,0.6007208595286899,0.6996069520532441,0.744973544973545,0.007593457943925234,52.0,6848.0,758.0,0.0,0.4772727272727273,0.4772727272727273,0.6174242424242423,0.7727272727272727,0.6537878787878787,0.9318181818181818,0.6619949494949494,1.0,0.027704485488126648,0.13653699466056446,716.0,,,,0.0
7,0.6008446712798008,0.6934677970640676,0.6609488536155204,0.009237536656891495,63.0,6820.0,758.0,0.0,0.41304347826086957,0.41304347826086957,0.532608695652174,0.6739130434782609,0.5619565217391304,0.8043478260869565,0.5882850241545894,1.0,0.025065963060686015,0.13625212304208342,722.0,,,,0.0
8,0.6009252471813173,0.7251079175030644,0.716796875,0.00593686649290472,41.0,6906.0,758.0,0.0,0.5151515151515151,0.5151515151515151,0.6363636363636364,0.7878787878787878,0.656060606060606,0.8787878787878788,0.6703703703703704,1.0,0.022427440633245383,0.13216589861751152,717.0,,,,0.0
9,0.6010215452099592,0.8099862180200892,0.6788019374416433,0.007173181086224565,49.0,6831.0,758.0,0.0,0.4166666666666667,0.4166666666666667,0.5324074074074073,0.6944444444444444,0.5560185185185185,0.8055555555555556,0.5821649029982364,1.0,0.01978891820580475,0.13200891199405868,711.0,,,,0.0
10,0.6011099821750384,0.728855597170204,0.7244094304388423,0.006696428571428571,45.0,6720.0,758.0,0.0,0.4,0.4,0.5428571428571428,0.7428571428571429,0.562857142857143,0.8285714285714286,0.5860997732426304,1.0,0.018469656992084433,0.13510959939531367,715.0,1.9794520547945205,0.06066556351840654,0.0015020649326674235,0.0
11,0.6012102107354614,0.7059112219681748,0.7971150793650794,0.007452871547566856,51.0,6843.0,758.0,0.0,0.5526315789473685,0.5526315789473685,0.6403508771929824,0.7631578947368421,0.6666666666666666,0.868421052631579,0.6852548036758562,1.0,0.027704485488126648,0.1355964346671724,715.0,,,,0.0
12,0.6012947171687594,0.7057402189189751,0.7378196649029983,0.0063600059162845736,43.0,6761.0,758.0,0.0,0.4166666666666667,0.4166666666666667,0.5138888888888888,0.6111111111111112,0.5458333333333333,0.75,0.582010582010582,1.0,0.01978891820580475,0.13240810202550637,706.0,,,,0.0
13,0.601402806792745,0.6412438912438913,0.6249999999999999,0.008101340403594049,55.0,6789.0,758.0,0.0,0.40476190476190477,0.40476190476190477,0.5238095238095238,0.6666666666666666,0.5619047619047619,0.8333333333333334,0.5842214663643235,1.0,0.022427440633245383,0.13693966332513713,724.0,,,,0.0
14,0.6014853479601523,0.7068132784152202,0.679715057319224,0.0061403508771929825,42.0,6840.0,758.0,0.0,0.40540540540540543,0.40540540540540543,0.5045045045045046,0.6216216216216216,0.5342342342342342,0.7567567567567568,0.5668811668811667,1.0,0.01978891820580475,0.13515048268029528,714.0,,,,0.0
