round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.600000734455704,0.7590040171768944,0.5,6.925687374471916e-05,1.0,14439.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.13277342644144569,1407.0,1.9937888198757765,0.04731125640340987,0.0008514333881854405,0.0
1,0.6000154235697852,0.572272043913013,0.5972222222222222,0.0005590886854427283,8.0,14309.0,1572.0,0.0,0.125,0.125,0.25,0.375,0.28125,0.5,0.3511904761904762,1.0,0.0006361323155216285,0.13071517951679662,1358.0,,,,0.0
2,0.6000264404053461,0.5749432949127435,0.7423941798941799,0.000416435313714603,6.0,14408.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5416666666666666,0.8333333333333334,0.5625,1.0,0.001272264631043257,0.1310519883425778,1394.0,,,,0.0
3,0.6000337849623867,0.541016990630681,0.7777777777777778,0.0002796029637914162,4.0,14306.0,1572.0,0.0,0.5,0.5,0.5833333333333333,0.75,0.5833333333333333,0.75,0.6190476190476191,1.0,0.001272264631043257,0.13000848496276043,1379.0,,,,0.0
4,0.6000411295194272,0.8478451537456146,0.8055555555555556,0.0002750842445498934,4.0,14541.0,1572.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.4583333333333333,0.75,0.494047619047619,1.0,0.0006361323155216285,0.12804012491719505,1353.0,,,,0.0
5,0.6000466379372077,0.648626135378155,0.5925925925925926,0.0002053528646724622,3.0,14609.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.45,1.0,0.0006361323155216285,0.12913722573447378,1389.0,,,,0.0
6,0.6000558186335084,0.45300668151447665,0.6666666666666667,0.00034787448688513185,5.0,14373.0,1572.0,0.0,0.4,0.4,0.5,0.6,0.5,0.6,0.55,1.0,0.001272264631043257,0.1282245827010622,1352.0,,,,0.0
7,0.6000649993298092,0.5714295599225021,0.7,0.0003458532198934772,5.0,14457.0,1572.0,0.0,0.4,0.4,0.6,0.8,0.6,0.8,0.625,1.0,0.001272264631043257,0.13149732117680232,1399.0,,,,0.0
8,0.6000796884438904,0.48745761538993837,0.6253968253968255,0.0005532886091707587,8.0,14459.0,1572.0,0.0,0.2857142857142857,0.2857142857142857,0.380952380952381,0.5714285714285714,0.380952380952381,0.5714285714285714,0.445578231292517,1.0,0.001272264631043257,0.12781954887218044,1360.0,,,,0.0
9,0.6000870330009309,0.525567789589949,0.5396825396825398,0.00027605244996549346,4.0,14490.0,1572.0,0.0,0.25,0.25,0.3333333333333333,0.5,0.3333333333333333,0.5,0.4107142857142857,1.0,0.0006361323155216285,0.13049168068797906,1396.0,,,,0.0
10,0.6000980498364918,0.5822535836018117,0.7037037037037037,0.00042005040604872583,6.0,14284.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7000000000000001,0.8333333333333334,0.7208333333333333,1.0,0.002544529262086514,0.13031267552892717,1392.0,1.9806451612903226,0.047236823297608636,0.0008514333881854405,0.0
11,0.6001035582542722,0.28975753771764645,0.7777777777777778,0.000209175847162181,3.0,14342.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0019083969465648854,0.12890844411158958,1377.0,,,,0.0
12,0.6001145750898331,0.38938201986447596,0.888888888888889,0.0004175365344467641,6.0,14370.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.75,0.8333333333333334,0.7777777777777778,1.0,0.002544529262086514,0.13004069552349243,1406.0,,,,0.0
13,0.6001292642039143,0.30583723572756694,0.6726190476190476,0.000550622892146741,8.0,14529.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.5714285714285714,0.41428571428571426,0.8571428571428571,0.43809523809523804,1.0,0.0006361323155216285,0.1294172494172494,1388.0,,,,0.0
14,0.6001347726216947,0.6236525560953042,0.5462962962962963,0.00020814542426975647,3.0,14413.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4142857142857143,1.0,0.0006361323155216285,0.13238212227156762,1401.0,,,,0.0
15,0.6001494617357759,0.27001877720061773,0.6736111111111112,0.000561245966044619,8.0,14254.0,1572.0,0.0,0.375,0.375,0.47916666666666663,0.625,0.5041666666666667,0.75,0.5319444444444444,1.0,0.0019083969465648854,0.12997942771647653,1390.0,,,,0.0
16,0.6001586424320766,0.3744857948682672,0.5,0.0003438316600192546,5.0,14542.0,1572.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.4066666666666666,0.8,0.42666666666666664,1.0,0.0006361323155216285,0.12860843819393042,1390.0,,,,0.0
17,0.6001641508498571,0.2264286375845142,0.7037037037037037,0.00020834780193068963,3.0,14399.0,1572.0,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.3611111111111111,1.0,0.3611111111111111,1.0,0.0,0.13105891126025354,1406.0,,,,0.0
18,0.6001788399639382,0.24838436549626763,0.6944444444444444,0.0005526388505111909,8.0,14476.0,1572.0,0.0,0.5,0.5,0.5416666666666667,0.625,0.5666666666666667,0.75,0.5916666666666667,1.0,0.002544529262086514,0.13013890183648738,1396.0,,,,0.0
19,0.6001825122424586,0.3059900462140064,0.5,0.00014217672567000782,2.0,14067.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.55,1.0,0.0006361323155216285,0.13254954015359818,1398.0,,,,0.0
