[seal runner] 20 cells to run
  [completed] epinions_seal_s1  (574s)
  [completed] epinions_seal_s2  (576s)
  [completed] epinions_seal_s3  (576s)
  [completed] epinions_seal_s42  (576s)
  [completed] slashdot_seal_s3  (658s)
  [completed] slashdot_seal_s42  (668s)
  [completed] slashdot_seal_s2  (669s)
  [completed] slashdot_seal_s1  (671s)
  [failed] sx_superuser_seal_s42  (134s)
  [failed] sx_askubuntu_seal_s3  (294s)
  [failed] sx_superuser_seal_s1  (213s)
  [failed] sx_askubuntu_seal_s1  (297s)
  [failed] sx_askubuntu_seal_s2  (295s)
  [failed] sx_askubuntu_seal_s42  (295s)
  [completed] epinions_seal_s0  (541s)
  [completed] slashdot_seal_s0  (621s)
  [completed] sx_askubuntu_seal_s0  (2141s)
  [completed] sx_superuser_seal_s2  (2980s)
  [completed] sx_superuser_seal_s3  (2998s)
  [completed] sx_superuser_seal_s0  (2969s)
Done
